abstract,index
"Hired a Chief Diversity Officer.
Created the DEIB certificate.
Adding diversity to leadership groups and committees.
Being more transparent in their policies and procedures.",1
"Stop with the bigoted DEI focus.  Fire the racist and sexist organization ''The Diversity Movement"" and go back to recognizing people as individuals.  All we are doing now is being a racist and sexist organization who is only concerned about race and sex.  

Diversity of thought is important-- but we stopped caring about that the moment we embraced the racist DEI ideology. ",2
Chief Hinson is doing a very poor job -- needs to be dismissed.,3
"Not much. It is, and always will be, a ""country club.""",4
It should not be doing anything.  The AAA should be only a professional organization of academic accounts devoted to teaching and research about accounting.  Diversity has nothing whatsoever to do with this mission.,5
Long-term and ongoing commitment (rather than simply reacting to current events and then forgetting about DEI),6
Too much,7
"I like that the AAA is attempting to address issues of inclusion and equity. In order for people to be willing to select into a profession, they need to have visible role models. ",8
"AAA journals. Need at least 2-3 DEI special issues for each journal. Having only one is not enough, like IAE and AH. This will also help readers and reviewers accustomed to reading DEI articles. The special issues have shown that there is a supply of articles but limited opportunities in accounting journals. ",9
"DEIB training made accessible to all.
",10
DEIB workshops and certificates; monthly spotlights of different marginalized groups,11
I think the leadership ranks are better reflecting the diversity among our membership. ,12
"You're taking it TOO FAR! Think about your members - are you genuinely concerned that WE need help understanding how to treat people? We're not stupid - we know that all your DEI stuff is either virtue signaling, organizational risk management, or some combination. Maybe ease up on all this and lower our dues??",13
Nothing. This survey is just one example. The AAA has now become more biased Than ever despite now being more diverse than ever. Focus on accounting. Also where is the disclosure to subjects for this survey. It is being conducted by an organization with academic ties. The question choices are rather questionable in a sense that you will not get a true picture of what you are trying to gauge. Yet another waste of money and time thanks to this mismanaged organization. ,14
"My section (ATA) has always felt welcoming to a diverse set of faculty. We have a number of women and LGBTQ+ members who hold or have held leadership positions. We have fewer members of color in general and so have/have had fewer members of color in leadership positions. However, our Ph.D. student and newer faculty cohorts include more members of color so hopefully we see some of them in leadership positions in the future.",15
Yes,16
Examining the issues and getting feedback from members---AAA is actually taking constructive action to address the issue,17
"Lots of good programs, speakers - clearly a major concern.",18
Nothing.  This is all just democrat propaganda.,19
Lately the topic has been front and center in the communications sent to members. I think that talking about the topic is a good thing.,20
Diversity section; DEIB training; emphasis at conferences,21
The AAA has done more than enough to support and encourage diversity. There is no need to go overboard.,22
"Being proactive in seeking to reflect our larger society.  This is coming at a cost though.  I strongly feel that policies put in place in recent years are stifling the free flow of ideas unacceptably.  This may seem like an odd concern for accounting professors.  However, some of us advocate for economic systems that frankly could land us with the AAA thought police because one person disagrees.  NOT GOOD!  ",23
I don't know.,24
This question is written in an extremely biased manner. Important and very important are not even options. This is a forced choice question which I believe to be unethical.,25
"AAA should be focused on matters that facilitate academic and research excellence, avoiding distractions that want to complete with this important mission or else AAA will lose prominence.",26
Don't forget what the AAA actual purpose is.,27
The AAA is spending too much time and effort on diversity.  ,28
My suspicion is that 80% of the AAA membership is indifferent to DEIB but is too afraid to state this for fear of retribution,29
"Interpretation of the questions is problematic. My answers could be interpreted that there is a problem and biasing against DEI individuals, but it is the opposite. White, conservative, and religious individuals are discriminated against in the AAA. So be very careful in how you interpret the results. ",30
"A better question is: how important should diversity be to AAA. AAA is an open, fair and equitable organization with room for all - in the regard, it has been making important progress since the 1990s and continues now.

Given this background (emphasis added) as an organization, AAA should continue itâ€™s diversity efforts BUT BUT BUT AAA has far more pressing problems: declining student enrollments, declining membership, a transition to a Zoom world where communications are not dependent on AAA meetings, an internet based world where members are not dependent on AAA for resources. 

In light of all this, what is AAAâ€™s value proposition??? Itâ€™s not diversityâ€¦ The AAA needs to expand internationally, but can only do that IF IF IF it understands itâ€™s value proposition - at this point in time, AAA does not understand its value proposition; itâ€™s not alone, neither does the accounting profession. 

While diverse is important, it feels like itâ€™s priority #1 for AAA and AAA has far bigger problems that will not be addressed no matter how many resources are devoted to diversity.",31
"To paraphrase George Carlin, DEI ""is America's newest form of intolerance, and it is especially pernicious because it comes disguised as tolerance. It presents itself as fairness, yet attempts to restrict and control people's language with strict codes and rigid rules. I'm not sure that's the way to fight discrimination. I'm not sure silencing people or forcing them to alter their speech is the best method for solving problems that go much deeper than speech.â€

The AAA needs to stand firm against DEI.  ",32
"Too much emphasis on DEI now.  More like a fad.  I mean, where did this come from? And why is it so urgent NOW?  Accounting has more urgent problems now, declining enrollments, and general demand for accounting.  DEI sounds good but is mostly a distraction.  ",33
I think the AAA has done a good job finding diverse employees and leaders. It also ensures speakers and presenters at conferences and webinars are diverse (along a variety of dimensions) and ensures all people feel welcome. ,34
stop wasting time with this fake issue; channel your energy into something more productive! ,35
Diversity of thought is more important than racial Diversity ,36
AAA has already made very great initiatives to address the DEI as demonstrated by hiring the Chief Diversity and Inclusion Officer as well as having elected its first African American as its current president.,37
"don't know, I do not pay much attention to it",38
"[Why no question on what AAA is NOT doing well?] The AAA has certainly gone 1,000 MPH on the DEI issue over the past 2 years, with virtually every AAA email communication leading with a robust DEI section. Likewise, the Annual Meeting was very heavy on DEI and ESG. However, my sense is that more conservative AAA members are just keeping their heads down (reflected in some of my earlier answers) and are struggling to understand the notion of equity versus equal opportunity. Like much of academia, the AAA certainly has the feel of going woke in a huge way. In the quest for racial and gender diversity, I hope that the AAA will not squelch viewpoint diversity or success through merit. Ultimately, AAA is an accounting organization, not a DEI organization (I think),",39
"Diverse for who? Seems like certain groups get all the attention but others, like Asians, are ignored. ",40
The online diversity discussions are helpful. More helpful would be funding to draw more diverse individuals to careers teaching accounting.,41
Awareness is a critical first step and the AAA has done well with that phase. Real and meaningful action with oversight and repercussions for bad actors is whatâ€™s missing. ,42
"Nothing.  DEI as you define it is neo-racism, extraordinarily divisive, a fabulous waste of resources, and an obsession which is replacing scholars with ideologues.  Your goal, it appears to many of us, is to have AAA bureaucrats allocate resources by ever-stranger categories of grievance.   You are headed for a tinier organization which is avoided by the real scholars in the accounting academy.  I for one am not renewing my membership for next year, as I donâ€™t want to continue funding the ugly little tyrannies of your political activism.",43
I do not know. ,44
"being open-mind, tolerance, education, competence, sustainability",45
No ideology in academia please. I am afraid the AAA turned woke.,46
Being aware of the issue and taking all the necessary step to guarantee full inclusion of any member,47
I have not done the training yet but heard it was excellent.  I hear a lot about it but not sure what accomplishments have been made.  How far has the organization come.  What is the roadmap ahead?,48
"DEIB training course, DEIB book club, DEIB history education, celebrating heritage months, WeARe webinars on DEIB, partnership with NABA, PHd candidate programs for minorities.",49
Building the DEIB Certificate and the DEI Board position and task force.,50
